time,open,high,low,close,tick_volume,spread,real_volume
2021-02-25 10:00:00,1.21873,1.22086,1.21873,1.22085,6305,0,0
2021-02-25 11:00:00,1.22085,1.2223,1.22041,1.22201,6275,0,0
2021-02-25 12:00:00,1.222,1.2235800000000001,1.22181,1.22282,6545,0,0
2021-02-25 13:00:00,1.22282,1.22378,1.22232,1.22295,5940,0,0
2021-02-25 14:00:00,1.22295,1.22371,1.22243,1.22258,5399,0,0
2021-02-25 15:00:00,1.22258,1.22342,1.2211400000000001,1.2212399999999999,7352,0,0
2021-02-25 16:00:00,1.2212399999999999,1.2242899999999999,1.2209,1.22412,9376,0,0
2021-02-25 17:00:00,1.22413,1.22428,1.22181,1.22233,11669,0,0
2021-02-25 18:00:00,1.22232,1.22333,1.22164,1.22292,7470,0,0
2021-02-25 19:00:00,1.22292,1.22387,1.22116,1.22126,8414,0,0
2021-02-25 20:00:00,1.22126,1.22139,1.21605,1.21803,15591,0,0
2021-02-25 21:00:00,1.21803,1.21932,1.21747,1.21858,7116,0,0
2021-02-25 22:00:00,1.21855,1.21874,1.21629,1.21632,6323,0,0
2021-02-25 23:00:00,1.21632,1.2178499999999999,1.21631,1.21774,2372,0,0
2021-02-26 00:00:00,1.21707,1.21833,1.21699,1.2181899999999999,509,0,0
2021-02-26 01:00:00,1.21835,1.21835,1.21579,1.21579,4136,0,0
2021-02-26 02:00:00,1.2158,1.21673,1.21377,1.21576,6467,0,0
2021-02-26 03:00:00,1.21576,1.2165300000000001,1.21512,1.21639,5593,0,0
2021-02-26 04:00:00,1.21639,1.21827,1.21621,1.21725,3534,0,0
2021-02-26 05:00:00,1.2172399999999999,1.21757,1.21596,1.21597,2737,0,0
2021-02-26 06:00:00,1.21598,1.21614,1.2145299999999999,1.21551,3276,0,0
2021-02-26 07:00:00,1.21551,1.21597,1.21493,1.21539,3520,0,0
2021-02-26 08:00:00,1.2154,1.21596,1.21472,1.21548,3630,0,0
2021-02-26 09:00:00,1.21548,1.21553,1.21291,1.21349,9247,0,0
2021-02-26 10:00:00,1.2134800000000001,1.21596,1.21335,1.21496,8007,0,0
2021-02-26 11:00:00,1.21496,1.21509,1.21228,1.21253,6926,0,0
2021-02-26 12:00:00,1.21253,1.21294,1.2113800000000001,1.2114,6460,0,0
2021-02-26 13:00:00,1.2114,1.2124,1.20927,1.2107,8373,0,0
2021-02-26 14:00:00,1.2107,1.21222,1.21033,1.21148,8084,0,0
2021-02-26 15:00:00,1.21148,1.21253,1.21059,1.21235,9332,0,0
2021-02-26 16:00:00,1.21235,1.2138,1.21162,1.21248,9920,0,0
2021-02-26 17:00:00,1.21249,1.21415,1.21093,1.21388,14844,0,0
2021-02-26 18:00:00,1.21388,1.21402,1.20904,1.20917,11243,0,0
2021-02-26 19:00:00,1.20917,1.20942,1.2073800000000001,1.20801,5658,0,0
2021-02-26 20:00:00,1.20801,1.20866,1.20719,1.20833,5609,0,0
2021-02-26 21:00:00,1.20832,1.209,1.20766,1.20778,3560,0,0
2021-02-26 22:00:00,1.2078,1.20795,1.20652,1.20656,3498,0,0
2021-02-26 23:00:00,1.20656,1.20745,1.20623,1.20736,2507,0,0
2021-03-01 00:00:00,1.207,1.20767,1.20688,1.2074799999999999,321,6,0
2021-03-01 01:00:00,1.2074799999999999,1.2092100000000001,1.20713,1.20904,2547,0,0
2021-03-01 02:00:00,1.20905,1.21012,1.20861,1.20917,3381,0,0
2021-03-01 03:00:00,1.20917,1.20956,1.20829,1.20842,3200,0,0
2021-03-01 04:00:00,1.20842,1.2088700000000001,1.20794,1.20837,2635,0,0
2021-03-01 05:00:00,1.20837,1.20875,1.20808,1.2082,2148,0,0
2021-03-01 06:00:00,1.2082,1.20838,1.2074799999999999,1.20774,1541,0,0
2021-03-01 07:00:00,1.20774,1.2085,1.20774,1.20848,1898,0,0
2021-03-01 08:00:00,1.20848,1.20928,1.20818,1.20904,2227,0,0
2021-03-01 09:00:00,1.20904,1.20925,1.20746,1.20762,4431,0,0
2021-03-01 10:00:00,1.20762,1.20789,1.205,1.2055,6457,0,0
2021-03-01 11:00:00,1.2055,1.20556,1.20284,1.20386,4789,0,0
2021-03-01 12:00:00,1.20385,1.20547,1.20374,1.2044,3883,0,0
2021-03-01 13:00:00,1.2044,1.20556,1.20377,1.20437,4514,0,0
2021-03-01 14:00:00,1.20437,1.20474,1.20406,1.20447,3737,0,0
2021-03-01 15:00:00,1.20447,1.20542,1.20401,1.2053,4622,0,0
2021-03-01 16:00:00,1.2053,1.20668,1.20401,1.20407,8433,0,0
2021-03-01 17:00:00,1.20407,1.20534,1.20276,1.2049400000000001,8748,0,0
2021-03-01 18:00:00,1.20495,1.2059199999999999,1.2048,1.20534,4879,0,0
2021-03-01 19:00:00,1.20534,1.20612,1.20404,1.20408,3804,0,0
2021-03-01 20:00:00,1.20408,1.20472,1.20327,1.20444,2712,0,0
2021-03-01 21:00:00,1.20444,1.20515,1.20423,1.20462,2088,0,0
2021-03-01 22:00:00,1.20462,1.20482,1.20416,1.20446,2025,0,0
2021-03-01 23:00:00,1.20446,1.20495,1.20429,1.20484,1159,0,0
